,HS
0,1
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,1
11,1
12,0
13,1
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,1
29,1
30,1
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,0
57,1
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,1
71,1
72,0
73,0
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,1
82,0
83,0
84,1
85,0
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,1
121,0
122,1
123,1
124,0
125,0
126,0
127,0
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,1
136,1
137,1
138,0
139,0
140,1
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,1
158,0
159,0
160,1
161,1
162,0
163,0
164,1
165,0
166,0
167,0
168,1
169,1
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,0
178,0
179,1
180,0
181,0
182,0
183,0
184,1
185,1
186,1
187,0
188,0
189,0
190,1
191,1
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,1
211,0
212,0
213,0
214,0
215,1
216,0
217,1
218,1
219,0
220,0
221,1
222,0
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,0
231,0
232,1
233,0
234,0
235,0
236,0
237,0
238,1
239,0
240,1
241,0
242,1
243,0
244,1
245,0
246,1
247,1
248,1
249,0
250,1
251,0
252,1
253,1
254,0
255,1
256,0
257,0
258,0
259,1
260,1
261,1
262,1
263,1
264,0
265,0
266,0
267,1
268,0
269,0
270,0
271,1
272,0
273,1
274,0
275,1
276,1
277,0
278,1
279,1
280,0
281,0
282,1
283,0
284,0
285,0
286,0
287,1
288,1
289,0
290,0
291,0
292,0
293,1
294,1
295,0
296,1
297,1
298,1
299,0
300,1
301,1
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,0
311,0
312,1
313,0
314,0
315,0
316,0
317,1
318,0
319,0
320,0
321,0
322,0
323,1
324,1
325,1
326,1
327,1
328,0
329,1
330,0
331,1
332,1
333,1
334,1
335,0
336,0
337,1
338,0
339,1
340,0
341,0
342,1
343,0
344,0
345,1
346,0
347,0
348,1
349,1
350,0
351,1
352,1
353,1
354,0
355,1
356,1
357,0
358,0
359,1
360,1
361,1
362,0
363,1
364,0
365,1
366,1
367,1
368,0
369,0
370,1
371,1
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,0
385,0
386,0
387,0
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,1
397,1
398,1
399,0
400,1
401,1
402,0
403,0
404,0
405,1
406,0
407,0
408,1
409,0
410,0
411,0
412,0
413,0
414,0
415,1
416,0
417,1
418,0
419,1
420,1
421,0
422,0
423,0
424,1
425,0
426,1
427,1
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,1
439,1
440,0
441,1
442,1
443,0
444,1
445,1
446,0
447,1
448,1
449,0
450,0
451,0
452,1
453,0
454,1
455,0
456,0
457,0
458,1
459,0
460,0
461,1
462,0
463,0
464,0
465,0
466,1
467,0
468,1
469,1
470,0
471,1
472,1
473,1
474,1
475,0
476,0
477,0
478,1
479,0
480,1
481,0
482,0
483,1
484,0
485,1
486,0
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,1
496,0
497,0
498,0
499,1
500,0
501,1
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,1
510,1
511,1
512,0
513,1
514,0
515,1
516,0
517,0
518,1
519,1
520,0
521,0
522,1
523,1
524,1
525,0
526,1
527,0
528,1
529,0
530,0
531,1
532,0
533,0
534,0
535,0
536,0
537,1
538,1
539,0
540,1
541,1
542,1
543,0
544,0
545,0
546,0
547,0
548,0
549,1
550,1
551,0
552,1
553,1
554,0
555,0
556,1
557,1
558,1
559,0
560,0
561,0
562,1
563,1
564,1
565,1
566,0
567,0
568,0
569,1
570,1
571,1
572,0
573,0
574,1
575,1
576,1
577,1
578,1
579,0
580,0
581,0
582,1
583,1
584,1
585,1
586,0
587,0
588,0
589,1
590,1
591,0
592,0
593,0
594,1
595,1
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,0
604,1
605,0
606,1
607,0
608,0
609,0
610,0
611,1
612,1
613,0
614,0
615,0
616,1
617,0
618,1
619,0
620,0
621,0
622,1
623,0
624,1
625,0
626,0
627,1
628,1
629,0
630,0
631,0
632,0
633,0
634,0
635,1
636,0
637,0
638,1
639,0
640,1
641,0
642,0
643,0
644,0
645,1
646,1
647,0
648,0
649,0
650,1
651,1
652,1
653,1
654,0
655,1
656,1
657,1
658,1
659,1
660,0
661,0
662,1
663,0
664,1
665,0
666,0
667,0
668,0
669,0
670,0
671,1
672,1
673,0
674,0
675,1
676,1
677,1
678,0
679,0
680,0
681,1
682,1
683,0
684,1
685,0
686,0
687,1
688,1
689,0
690,0
691,0
692,1
693,1
694,1
695,1
696,0
697,1
698,1
699,1
700,0
701,1
702,0
703,0
704,0
705,1
706,1
707,0
708,1
709,1
710,0
711,0
712,1
713,0
714,0
715,1
716,0
717,0
718,1
719,0
720,0
721,0
722,1
723,0
724,0
725,1
726,0
727,0
728,0
729,0
730,1
731,1
732,1
733,0
734,1
735,0
736,0
737,1
738,0
739,0
740,1
741,1
742,1
743,0
744,0
745,0
746,1
747,1
748,0
749,1
750,0
751,0
752,1
753,1
754,1
755,1
756,0
757,1
758,0
759,0
760,0
761,1
762,0
763,1
764,1
765,0
766,0
767,0
768,0
769,0
770,0
771,1
772,1
773,1
774,0
775,1
776,1
777,0
778,0
779,0
780,1
781,0
782,1
783,0
784,1
785,0
786,1
787,1
788,0
789,1
790,0
791,1
792,0
793,1
794,0
795,1
796,1
797,0
798,0
799,0
800,0
801,1
802,0
803,1
804,0
805,1
806,0
807,0
808,1
809,0
810,0
811,0
812,0
813,1
814,0
815,0
816,1
817,1
818,0
819,0
820,0
821,1
822,0
823,0
824,0
825,0
826,1
827,1
828,0
829,0
830,0
831,0
832,0
833,1
834,1
835,0
836,0
837,0
838,0
839,1
840,0
841,1
842,0
843,1
844,0
845,0
846,0
847,1
848,0
849,0
850,1
851,0
852,1
853,1
854,1
855,0
856,1
857,1
858,1
859,1
860,0
861,1
862,0
863,1
864,1
865,1
866,0
867,1
868,0
869,0
870,0
871,0
872,1
873,0
874,0
875,0
876,1
877,0
878,0
879,0
880,1
881,0
882,1
883,0
884,0
885,1
886,0
887,1
888,1
889,1
890,0
891,1
892,1
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,1
903,1
904,0
905,1
906,0
907,0
908,0
909,0
910,0
911,1
912,0
913,1
914,0
915,0
916,0
917,1
918,1
919,1
920,1
921,0
922,1
923,0
924,0
925,0
926,1
927,0
928,1
929,0
930,0
931,0
932,0
933,1
934,0
935,1
936,0
937,0
938,0
939,1
940,0
941,0
942,1
943,1
944,0
945,0
946,0
947,0
948,1
949,1
950,0
951,1
952,0
953,0
954,0
955,0
956,1
957,0
958,0
959,0
960,0
961,1
962,1
963,1
964,1
965,0
966,1
967,1
968,0
969,0
970,1
971,1
972,1
973,1
974,1
975,1
976,0
977,1
978,1
979,0
980,0
981,1
982,1
983,0
984,1
985,0
986,1
987,0
988,1
989,1
990,0
991,1
992,1
993,1
994,0
995,1
996,0
997,0
998,1
999,0
1000,1
1001,1
1002,1
1003,0
1004,1
1005,0
1006,1
1007,0
1008,0
1009,1
1010,1
1011,0
1012,0
1013,1
1014,1
1015,1
1016,0
1017,1
1018,1
1019,0
1020,0
1021,0
1022,1
1023,1
1024,1
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,1
1034,0
1035,1
1036,0
1037,0
1038,0
1039,1
1040,1
1041,0
1042,1
1043,1
1044,0
1045,0
1046,0
1047,1
1048,1
1049,1
1050,1
1051,1
1052,0
1053,0
1054,1
1055,0
1056,1
1057,1
1058,1
1059,0
1060,0
1061,0
1062,1
1063,0
1064,0
1065,0
1066,0
1067,1
1068,0
1069,0
1070,0
1071,1
1072,0
1073,0
1074,0
1075,0
1076,1
1077,1
1078,1
1079,0
1080,0
1081,1
1082,1
1083,0
1084,1
1085,1
1086,1
1087,1
1088,0
1089,1
1090,1
1091,1
1092,1
1093,1
1094,0
1095,0
1096,0
1097,1
1098,0
1099,1
1100,0
1101,1
1102,0
1103,1
1104,1
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,1
1112,1
1113,1
1114,0
1115,0
1116,0
1117,0
1118,0
1119,1
1120,0
1121,1
1122,1
1123,1
1124,1
1125,1
1126,0
1127,0
1128,0
1129,0
1130,1
1131,1
1132,0
1133,0
1134,0
1135,1
1136,1
1137,0
1138,1
1139,0
1140,1
1141,0
1142,0
1143,1
1144,0
1145,0
1146,1
1147,1
1148,0
1149,1
1150,0
1151,1
1152,0
1153,0
1154,0
1155,0
1156,0
1157,1
1158,1
1159,0
1160,1
1161,0
1162,0
1163,0
1164,1
1165,0
1166,0
1167,1
1168,1
1169,0
1170,0
1171,0
1172,1
1173,1
1174,1
1175,1
1176,1
1177,1
1178,1
1179,0
1180,1
1181,0
1182,0
1183,1
1184,0
1185,0
1186,0
1187,0
1188,1
1189,1
1190,1
1191,0
1192,0
1193,0
1194,1
1195,0
1196,0
1197,1
1198,0
1199,1
1200,1
1201,0
1202,0
1203,0
1204,0
1205,0
1206,1
1207,0
1208,0
1209,0
1210,0
1211,1
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,1
1220,1
1221,0
1222,1
1223,0
1224,1
1225,0
1226,0
1227,1
1228,1
1229,0
1230,0
